district_id,population,cases_per_100k,cases_7days,afd_voteshare_2017
13004,95653,1417.624121,79,15.45850272
13071,258074,1829.320272,333,19.34524598
13072,215794,771.5691817,100,17.95943789
13073,224702,853.1299232,115,20.18759851
13074,157322,1084.400147,108,16.7904706
13075,235623,1744.736295,390,22.41165371
13076,211779,1487.399601,243,17.50223885
14511,246334,3913.385891,181,24.08401147
14521,334948,5866.582275,297,28.45098606
14522,304099,4732.998135,565,30.00051951
14523,225997,4458.023779,303,26.06688846
14524,315002,5317.109098,356,25.63092885
14612,556780,3688.350875,561,22.3247227
14625,299758,6061.556322,437,31.95953325
14626,252725,5552.675833,349,32.38601055
14627,241717,4981.445244,325,32.43064816
14628,245586,5641.201046,399,35.01874097
14713,593145,2317.477177,396,18.14144175
14729,258139,3559.710079,483,26.5452111
14730,197741,4113.461548,272,26.48811035
15001,80103,2128.509544,127,19.78086439
15002,238762,2509.193255,221,16.86749731
15003,237565,1450.971313,155,15.52810078
15081,83173,1506.498503,82,15.38461538
15082,158486,2324.495539,410,22.04000389
15083,170923,1780.918893,159,18.46040546
15084,178846,3548.304128,400,23.94004822
15085,213310,1967.558952,188,16.22896492
15086,89589,1953.36481,99,18.69227998
15087,134942,2662.625424,281,23.50861688
15088,183815,2977.450154,234,23.63752451
15089,189125,2612.029081,331,20.07255482
15090,111190,2038.852415,51,17.45445943
15091,124953,3145.182589,145,19.65457594
16051,213981,2059.061319,254,18.2960916
16052,93125,2959.463087,91,28.17945017
16053,111343,2324.349083,124,14.26283029
16054,36789,3038.951861,67,19.60332754
16055,65228,2385.478629,63,15.8622324
16056,42250,2111.242604,31,18.7708452
16061,100006,3507.789533,243,17.97057283
16062,83416,1729.883955,58,20.74982268
16063,118974,2856.926723,206,22.2438039
16064,102232,3845.175679,185,22.87339832
16065,74212,2417.398803,95,24.5548042
16066,124916,3824.97038,407,21.34240399
16067,134908,2641.059092,272,22.87618197
16068,69427,2696.357325,115,23.85394206
16069,63197,5266.072757,164,24.91997358
16070,106249,2817.908874,139,24.68323478
16071,82156,2399.094406,139,23.38360809
16072,57717,4376.526847,60,25.2600077
16073,103199,3866.316534,175,26.6522627
16074,82950,3001.808318,115,23.19536017
16075,80312,3825.082179,157,26.18547068
16076,97398,3351.198177,108,25.17518373
16077,89393,4869.508798,169,27.01330846
11000,3669491,3268.654971,3134,11.90031996
